name,description,labels
01_TableKey.csv,ACS2015_5_E README,documentation
02_ColumnKey.csv,Metadata file detailing specific topics contained in this dataset,documentation
03_ColumnKey.json,Metadata file detailing Column ID and Column Description for all population estimate columns contained in this dataset,documentation
AK.csv,Alaska,raw data
AL.csv,Alabama,raw data
AR.csv,Arkansas,raw data
AZ.csv,Arizona,raw data
CA.csv,California,raw data
CO.csv,Colorado,raw data
CT.csv,Connecticut,raw data
DC.csv,"Washington, D.C.",raw data
DE.csv,Delaware,raw data
FL.csv,Florida,raw data
GA.csv,Georgia,raw data
HI.csv,Hawaii,raw data
IA.csv,Iowa,raw data
ID.csv,Idaho,raw data
IL.csv,Illinois,raw data
IN.csv,Indiana,raw data
KS.csv,Kansas,raw data
KY.csv,Kentucky,raw data
LA.csv,Louisiana,raw data
MA.csv,Massachusetts,raw data
MD.csv,Maryland,raw data
ME.csv,Maine,raw data
MI.csv,Michigan,raw data
MN.csv,Minnesota,raw data
MO.csv,Missouri,raw data
MS.csv,Mississippi,raw data
MT.csv,Montana,raw data
NC.csv,North Carolina,raw data
ND.csv,North Dakota,raw data
NE.csv,Nebraska,raw data
NH.csv,New Hampshire,raw data
NJ.csv,New Jersey,raw data
NM.csv,New Mexico,raw data
NV.csv,Nevada,raw data
NY.csv,New York,raw data
OH.csv,Ohio,raw data
OK.csv,Oklahoma,raw data
OR.csv,Oregon,raw data
PA.csv,Pennsylvania,raw data
PR.csv,Puerto Rico,raw data
RI.csv,Rhode Island,raw data
SC.csv,South Carolina,raw data
SD.csv,South Dakota,raw data
TN.csv,Tennessee,raw data
TX.csv,Texas,raw data
USA_All_States.csv,All states,raw data
USA_ZCTA.csv,ZIP Census Tabulation Areas (ZCTA/ZIP code),raw data
USA.csv,Full USA and geographies larger than states,raw data
UT.csv,Utah,raw data
VA.csv,Virginia,raw data
VT.csv,Vermont,raw data
WA.csv,Washington,raw data
WI.csv,Wisconsin,raw data
WV.csv,West Virginia,raw data
WY.csv,Wyoming,raw data
